Quarter,Total-Assets,Shareholder-Equity,Total-Liabilities(w/equity),Just-Liabilities,Revenues,Cost-of-Revenues,Gross-Profit,Operating-Expenses,Net gain/loss,Cash(beginning-of-period),Cash(end-of-period),Change,Total-debt,EPS,EPS-Surprise,China-Commerce,International-Commerce
Q2-2015,45494000,29677000,45494000,15817000,3265000,1083000,2182000,832000,4970000,17451000,16785000,-666000,8489,0.41,0.007,2695000,282000
Q3-2015,51570000,35174000,51570000,16396000,3488000,1122000,2366000,1006000,3572000,16373000,15222000,-1151000,8510,0.81,0.06,2881000,289000
Q4-2015,56296000,38215000,56296000,18081000,5333000,1691000,3642000,1919000,1923000,14935000,17028000,2093000,8706,0.48,0.05,4612000,318000
Q1-2016,56521000,38700000,56521000,17821000,3751000,1483000,2268000,793000,824000,17106000,16566000,-540000,8902,0.59,0.01,3012000,308000
Q2-2016,61688000,38922000,61688000,22766000,4838000,1767000,3071000,1326000,1075000,16073000,12375000,-3698000,11930,0.53,0.025,3708000,384000
Q3-2016,68441000,43369000,68441000,25072000,5142000,1968000,3174000,1356000,1061000,12333000,15548000,3215000,13210,0.93,0.09,3830000,427000
Q4-2016,70699000,44075000,70699000,26624000,7669000,2755000,4914000,2976000,2471000,14934000,19298000,4364000,13080,0.44,-0.073,6095000,577000
Q1-2017,73630000,47654000,73630000,25976000,5605000,2250000,3355000,1385000,1431000,19466000,20882000,1416000,31310,0.71,0.1,3963000,572000
Q2-2017,80202000,50690000,80202000,29512000,7403000,2576000,4827000,2583000,2070000,21202000,21410000,208000,13750,0.79,0.1,5657000,626000
Q3-2017,86998000,55176000,86998000,31822000,8285000,3307000,4978000,2493000,2616000,21815000,22357000,542000,13760,1.3,0.17,6230000,681000
Q4-2017,109345000,65624000,109345000,43721000,12761000,5390000,7371000,3996000,3586000,22862000,32614000,9752000,19810,0.63,-0.02,9534000,983000
Q1-2018,114326000,69578000,114326000,44748000,9873000,5182000,4691000,1470000,1059000,33829000,31775000,-2054000,19970,1.17,0.25,6706000,903000
Q2-2018,120394000,71420000,120394000,48974000,12229000,6607000,5622000,1212000,1156000,30637000,26331000,-4306000,20830,1.29,0.26,8496000,930000
Q3-2018,120088000,72124000,120088000,47964000,12398000,6812000,5586000,1966000,2656000,25369000,25081000,-288000,20100,1.63,-0.04,8249000,944000
